cand_id,cand_name,cand_name_last,party,office,state,incumbency,spend,impressions,ad_tone_attack,ad_tone_promote,ad_tone_contrast
ftm_223771,"BLEICH, JEFF",BLEICH,D,Governor,CA,Open Seat,49041,2803991,0.03476358677437124,0.653480611067093,0.14902811879837383
ftm_223772,"KOUNALAKIS, ELENI",KOUNALAKIS,D,Governor,CA,Open Seat,121549,6126950,0.040045897990208114,0.8569476267282902,0.10266101625536843
ftm_223775,"HERNANDEZ, EDWARD P",HERNANDEZ,D,Governor,CA,Open Seat,93747.5,1174998.5,0.015615924546253867,0.5970026114163373,0.2070930361192589
ftm_223778,"MAJOR, RUBEN",MAJOR,D,Other Statewide,CA,Challenger,5427,250477,0.03179668840054293,0.878943888432117,0.08896479498733853
ftm_223779,"PADILLA, ALEX",PADILLA,D,Other Statewide,CA,Incumbent,7507,174957,0.027386507611823232,0.9042786276689422,0.0606962652854912
ftm_223780,"MEUSER, MARK",MEUSER,R,Other Statewide,CA,Challenger,53471,4683971,0.03927331107379862,0.765995286092064,0.17525825946710308
ftm_223795,"GILLUM, ANDREW D",GILLUM,D,Governor,FL,Open Seat,1140924.5,70212878.5,0.017582805689609845,0.9145596481736488,0.0680513850643288
ftm_223796,"GRAHAM, GWEN",GRAHAM,D,Governor,FL,Open Seat,26033.5,811983.5,0.012676032651369252,0.9296022999806186,0.06117582290029813
ftm_223798,"KING, THOMAS CHRISTOPHER (CHRIS)",KING,D,Governor,FL,Open Seat,102278,5805928.5,0.021563770776096766,0.8014379107687537,0.19457063934893637
ftm_223804,"NATHAN, BRUCE F","NATHAN",R,Governor,FL,Open Seat,646,59996,0.017434559354953635,0.7104411103997034,0.19327457421783564
ftm_223805,"PUTNAM, ADAM H",PUTNAM,R,Governor,FL,Open Seat,414301.5,19766001.5,0.07636013057349389,0.7921982776848361,0.10937773930319222
ftm_223811,"CALDWELL, MATT",CALDWELL,R,Other Statewide,FL,Open Seat,272313.5,10788864.5,0.01679936215179191,0.858407898474256,0.12952204800777956
ftm_223812,"GRIMSLEY, DENISE",GRIMSLEY,R,Other Statewide,FL,Open Seat,108948.5,5481398.5,0.016804123419807943,0.8983304255381673,0.09417381746519904
ftm_223816,"RING, JEREMY SETH",RING,D,Other Statewide,FL,Challenger,46473,2053423,0.18107180869516326,0.6733342143834715,0.07603879898596118
ftm_223818,"MOODY, ASHLEY",MOODY,R,Other Statewide,FL,Open Seat,3746,554996,0.013569902453067578,0.8159746542390023,0.16167202064625363
ftm_223819,"TORRENS, RYAN C",TORRENS,D,Other Statewide,FL,Open Seat,13324.5,1326974.5,0.0629767883150934,0.7817633971665896,0.07879896358794009
ftm_223820,"WHITE, FRANK H",WHITE,R,Other Statewide,FL,Open Seat,3348.5,105498.5,0.3651767521396175,0.41641965649043233,0.1261329735568417
ftm_223821,"CUOMO, ANDREW M",CUOMO,D,Governor,NY,Incumbent,1420704.5,78718061,0.02541433464770325,0.8673142171987099,0.11210819970857386
ftm_223822,"HOCHUL, KATHLEEN COURTNEY (KATHY)",HOCHUL,D,Governor,NY,Incumbent,223381.5,5627983,0.06150830457477794,0.5491688234409368,0.20714270199411403
ftm_223824,"CHRISTIE, CHRIS",CHRISTIE,D,Other Statewide,AL,Open Seat,1146,113996,0.01636719518226269,0.9651223663291039,0.030423528051226015
ftm_223825,"MARSHALL, STEVE",MARSHALL,R,Other Statewide,AL,Incumbent,79577.5,2589977.5,0.05988181587234491,0.5795704427678506,0.17139150069810086
ftm_223831,"BATTLE, TOMMY",BATTLE,R,Governor,AL,Challenger,1096.5,63496.5,0.0045175177451351614,0.9309266302856621,0.06917390307331275
ftm_223833,"COBB, SUE BELL",COBB,D,Governor,AL,Open Seat,148.5,3998.5,0.035970583960777326,0.8202029175926944,0.12372929766380124
ftm_223835,"DAWSON, SCOTT",DAWSON,R,Governor,AL,Challenger,5837,773487,0.007984869490449206,0.8349578735899456,0.13927340016436907
ftm_223836,"FIELDS JR, JAMES C",FIELDS,D,Governor,AL,Open Seat,148.5,37998.5,0.00910374946557396,0.8801078629413144,0.1309630547591995
ftm_223838,"HIGHTOWER, WILLIAM CHARLES (BILL)",HIGHTOWER,R,Governor,AL,Challenger,6637.5,400487.5,0.03584847975341849,0.6519866510352502,0.28207621548064804
ftm_223839,"IVEY, KAY ELLEN",IVEY,R,Governor,AL,Incumbent,43292.5,1552492.5,0.0048695855725400475,0.9271935776604752,0.07758770173220922
ftm_223841,"MADDOX, WALT",MADDOX,D,Governor,AL,Challenger,37518,2921968,0.04754803650383679,0.7620919529314224,0.1695369016396554
ftm_223845,"AINSWORTH, WILLIAM P (WILL)",AINSWORTH,R,Governor,AL,Open Seat,28269.5,2541969.5,0.03551577045122173,0.8494993463721217,0.11109906757719794
ftm_223846,"CAVANAUGH, TWINKLE A",CAVANAUGH,R,Governor,AL,Open Seat,35362,2263462,0.1673508942039865,0.634134626319181,0.12795912083933259
ftm_223847,"GLOVER, RUSTY",GLOVER,R,Governor,AL,Open Seat,1294.5,235494.5,0.011582205759110818,0.8708452856575608,0.11345347979158164
ftm_223850,"ODEN, JEREMY H",ODEN,R,Other Statewide,AL,Incumbent,11443,448993,0.08224065398470805,0.7842270479639198,0.09594133498685735
ftm_223888,"JOHNSTON, MICHAEL (MIKE)",JOHNSTON,D,Governor,CO,Open Seat,77708.5,3370208.5,0.03208227168437476,0.7693532057043614,0.16003512762019417
ftm_223889,"KENNEDY, CARY",KENNEDY,D,Governor,CO,Open Seat,120370.5,5461870.5,0.05651292918286309,0.689782321735808,0.18116575815176075
ftm_223891,"LOPEZ, GREG",LOPEZ,R,Governor,CO,Open Seat,5675,429975,0.04640526556309031,0.8770976244513503,0.08090181105975731
ftm_223892,"LYNNE, DONNA",LYNNE,D,Governor,CO,Open Seat,33939.5,2297489.5,0.021516651827546685,0.896230519417527,0.07456618721998165
ftm_223893,"MITCHELL, VICTOR S",MITCHELL,R,Governor,CO,Open Seat,25084,944484,0.054988777730094,0.6651796488725829,0.23976717762656669
ftm_223895,"POLIS, JARED SCHUTZ",POLIS,D,Governor,CO,Open Seat,776100,42510350,0.03275239669394647,0.7825587779698259,0.17577365794966998
ftm_223896,"ROBINSON, DOUG",ROBINSON,R,Governor,CO,Open Seat,2195.5,100995.5,0.058715089143057474,0.7458076329928849,0.17050174130965537
ftm_223899,"ABRAMS, STACEY YVONNE",ABRAMS,D,Governor,GA,Open Seat,1597418,74305724,0.015611887697770188,0.8535090852568568,0.135046570240572
ftm_223900,"CAGLE, L S (CASEY)",CAGLE,R,Governor,GA,Open Seat,68296,4287946,0.050239938952022396,0.7669463617383908,0.12753524564606694
ftm_223902,"HILL, HUNTER BRADLEY",HILL,R,Governor,GA,Open Seat,3992.5,287992.5,0.00917972988623167,0.9381688214958359,0.06887949198963585
ftm_223903,"KEMP, BRIAN P",KEMP,R,Governor,GA,Open Seat,483475.5,25248377.5,0.15211161006706464,0.49778642260916717,0.2546359416046843
ftm_223905,"TIPPINS, CLAY",TIPPINS,R,Governor,GA,Open Seat,7642,556492,0.0038447329149760064,0.8107179794565766,0.22780027095682628
ftm_223907,"WILLIAMS, MICHAEL E",WILLIAMS,R,Governor,GA,Open Seat,943,103493,0.0774666201731251,0.6718009527966627,0.2218246388073563
ftm_223909,"FLORENCE, WILLIAM JASON (JAY)",FLORENCE,R,Other Statewide,GA,Open Seat,49.5,7499.5,0.03398193195355976,0.8210263813051405,0.12830956255765114
ftm_223910,"JORDAN, TRACY",JORDAN,R,Other Statewide,GA,Open Seat,49.5,499.5,0.016306666790425594,0.8565679941046817,0.13922273440960434
ftm_223914,"ZELDIN, CYNTHIA",ZELDIN,D,Other Statewide,GA,Open Seat,4387.5,285487.5,0.00926971973989706,0.9058256749612261,0.09353547763512887
ftm_223916,"JEFFARES JR, RICHARD M",JEFFARES,R,Governor,GA,Open Seat,20441.5,1457491.5,0.006018453071356114,0.9407731752846236,0.06311598842534852
ftm_223917,"AMICO, SARAH LYNN RIGGS",AMICO,D,Governor,GA,Open Seat,5378.5,465478.5,0.014267928622706372,0.9148934094483767,0.07233590785923942
ftm_223918,"SHAFER, J DAVID",SHAFER,R,Governor,GA,Open Seat,55110.5,4028410.5,0.2439336384716612,0.4183190834735391,0.3294356016901288
ftm_223920,"MILLER, LINDY",MILLER,D,Other Statewide,GA,Challenger,140895.5,4450395.5,0.02853053752322406,0.7731179769312253,0.17166127579633253
ftm_223922,"CHAPMAN, SID",CHAPMAN,D,Other Statewide,GA,Open Seat,2089,189489,0.010391798667078025,0.9367778432757154,0.06522865269373752
ftm_223925,"THORNTON JR, OTHA EDWARD",THORNTON,D,Other Statewide,GA,Challenger,4113.5,250963.5,0.022308935664932392,0.9190568475238375,0.07174516902964133
ftm_223926,"BARROW, JOHN JENKINS",BARROW,D,Other Statewide,GA,Open Seat,64430.5,1090980.5,0.00448254658194835,0.9146207117760353,0.08190190855927723
ftm_223927,"ISLE, DAVID BELLE",ISLE,R,Other Statewide,GA,Open Seat,34794.5,1554994.5,0.11545968333760107,0.7381543106767997,0.13465082321570498
ftm_223929,"DAWKINS-HAIGLER, DOROTHEA DEE",DAWKINS-HAIGLER,D,Other Statewide,GA,Open Seat,198,1998,0.015342740045558892,0.9549125460967012,0.03173648955366639
ftm_223962,"STAPLETON, WALKER R",STAPLETON,R,Governor,CO,Open Seat,110031.5,3277931.5,0.12302204756448701,0.6609945267126647,0.18311423982025204
ftm_223967,"KLUTZ, TERA",KLUTZ,R,Other Statewide,IN,Incumbent,148.5,10998.5,0.01117809707244808,0.9526039494240879,0.052555370220439136
ftm_223968,"LAWSON, CONNIE",LAWSON,R,Other Statewide,IN,Incumbent,134245.5,12659446,0.021162144480387987,0.9148344570572408,0.060908869939079534
ftm_223974,"GRISWOLD, JENA",GRISWOLD,D,Other Statewide,CO,Challenger,72460,2666860,0.053408913758983115,0.9066782884666685,0.0578315323687659
ftm_223977,"WILLIAMS, WAYNE W",WILLIAMS,R,Other Statewide,CO,Incumbent,31262.5,2263462.5,0.014632851243388246,0.911497616412833,0.06831792951429685
ftm_223979,"DOUTHIT, BERNARD KNUDSON",DOUTHIT,D,Other Statewide,CO,Open Seat,6487,325487,0.022876748157384826,0.8612488810946902,0.1040595885292405
ftm_223982,"LAWRENCE, POLLY",LAWRENCE,R,Other Statewide,CO,Open Seat,9282.5,819482.5,0.013213281779292313,0.9121335151359065,0.08199277370898995
ftm_223986,"YOUNG, DAVID L (DAVE)",YOUNG,D,Other Statewide,CO,Open Seat,30412.5,2378962.5,0.1939891416314843,0.6337520811617412,0.17168458467995357
ftm_223992,"BRUNNER, RYAN",BRUNNER,R,Other Statewide,SD,Incumbent,148.5,3998.5,0.020679446374651106,0.9457049968642101,0.039796776379210426
ftm_223996,"GLASSON, CATHY",GLASSON,D,Governor,IA,Open Seat,9393.5,546493.5,0.04433439420426044,0.7728219532498262,0.19106892694501337
ftm_223999,"MCGUIRE, ANDREA H (ANDY)",MCGUIRE,D,Governor,IA,Open Seat,6296,328996,0.006370903788416664,0.8712104500140508,0.15156367373674565
ftm_224000,"GONZALEZ, JAY",GONZALEZ,D,Governor,MA,Open Seat,449105.5,33274255.5,0.022181936116280613,0.8700271295699905,0.09711356785343245
ftm_224001,"JACKLEY, MARTY J",JACKLEY,R,Governor,SD,Open Seat,27865,2459965,0.0388285292801595,0.8752874757885802,0.10078272135381391
ftm_224003,"MASSIE, ROBERT K",MASSIE,D,Governor,MA,Open Seat,12163,2552963,0.016565406282635853,0.8816731696856688,0.10891524667688866
ftm_224004,"NORRIS, JOHN",NORRIS,D,Governor,IA,Open Seat,997.5,140997.5,0.007652653863575487,0.9152968313366323,0.07574255595993776
ftm_224008,"BAKER, CHARLES D",BAKER,R,Governor,MA,Incumbent,653350.5,15447453.5,0.025760444639547082,0.9365577561249451,0.027592177069565252
ftm_224010,"REYNOLDS, KIM",REYNOLDS,R,Governor,IA,Incumbent,413512,15702464,0.15683081553713607,0.5903236149799438,0.21780633920094986
ftm_224013,"FIEGEN, KRISTIE",FIEGEN,R,Other Statewide,SD,Incumbent,13587,1044487,0.022595668961050083,0.9127727104431639,0.056582748858043944
ftm_224016,"BARNETT, STEVE",BARNETT,R,Other Statewide,SD,Open Seat,749.5,29999.5,0.0019579930017335576,0.9412533237425253,0.08266760587493269
ftm_224018,"HAEDER, JOSHUA R (JOSH)",HAEDER,R,Other Statewide,SD,Open Seat,4559,390459,0.010528060744198094,0.9105064447708379,0.07367559862959887
ftm_224020,"RICKETTS, JOHN PETER (PETE)",RICKETTS,R,Governor,NE,Incumbent,23243.5,764993.5,0.008899268420623675,0.9364016443690568,0.05790371641131663
ftm_224030,"DEJEAR, DEIDRE",DEJEAR,D,Other Statewide,IA,Challenger,68629.5,3069979.5,0.074974950341133,0.8510401559915431,0.08400180400910826
ftm_224031,"MOWRER, JIM",MOWRER,D,Other Statewide,IA,Open Seat,3299,104999,0.0088343846886195,0.9086311915862079,0.08325752113261647
ftm_224032,"EVNEN, ROBERT (BOB)",EVNEN,R,Other Statewide,NE,Open Seat,8793.5,472493.5,0.016333820282711204,0.9366370359927476,0.04840649826745842
ftm_224036,"IGE, DAVID",IGE,D,Governor,HI,Incumbent,14621.5,1119471.5,0.009008317262405119,0.927740657094097,0.06401278817409803
ftm_224040,"TUPOLA, ANDRIA P",TUPOLA,R,Governor,HI,Open Seat,4071.5,452971.5,0.022929405801864415,0.9357915990590566,0.05145737038470925
ftm_224042,"CARVALHO, BERNARD",CARVALHO,D,Governor,HI,Open Seat,16683,3049983,0.01105503435723847,0.9203227847077349,0.07535126120967697
ftm_224043,"ESPERO, WILLIAM C",ESPERO,D,Governor,HI,Open Seat,3423,416473,0.014026131036475884,0.909701057581987,0.08645075045232557
ftm_224044,"GREEN, JOSH",GREEN,D,Governor,HI,Open Seat,57127.5,2835427.5,0.0029495564140975482,0.9816799345885532,0.0284663384049883
ftm_224045,"TOKUDA, JILL",TOKUDA,D,Governor,HI,Open Seat,7691.5,341491.5,0.005626147606385248,0.9678016053470712,0.040253064362484235
ftm_224067,"SCHMIDT, DEREK LARKIN",SCHMIDT,R,Other Statewide,KS,Incumbent,32345,2158945,0.01697593540133333,0.9195524726316823,0.0655619464353238
ftm_224068,"LATURNER, JACOB",LATURNER,R,Other Statewide,KS,Incumbent,40050,3227950,0.018835202079573562,0.8905391161657938,0.07967236943190287
ftm_224091,"PALFREY, QUENTIN",PALFREY,D,Governor,MA,Open Seat,3637.5,339987.5,0.015560795974366656,0.8787220049887655,0.10761610241581879
ftm_224092,"TINGLE, JIMMY",TINGLE,D,Governor,MA,Open Seat,5381,727481,0.023466527869865052,0.8917370520172242,0.09493904263573741
ftm_224099,"POLITO, KARYN E",POLITO,R,Governor,MA,Incumbent,7499.5,349999.5,0.005771988027906652,0.9448936601731445,0.026448190685619172
ftm_224110,"LAROSE, FRANK",LAROSE,R,Other Statewide,OH,Open Seat,61880.5,3522430.5,0.007931508412172102,0.9543693999688377,0.04455349713242566
ftm_224112,"CLYDE, KATHLEEN",CLYDE,D,Other Statewide,OH,Open Seat,38800.5,2355450.5,0.3364661625246978,0.4659718679281763,0.23122150888467877
ftm_224113,"YOST, DAVE",YOST,R,Other Statewide,OH,Open Seat,110133,4777833,0.099791162793102,0.690354182438067,0.16211088769591972
ftm_224117,"RICHARDSON, ROB",RICHARDSON,D,Other Statewide,OH,Open Seat,50564.5,4279965,0.046701322267517234,0.8659440251244656,0.06997144157544695
ftm_224118,"FABER, KEITH",FABER,R,Other Statewide,OH,Open Seat,152827.5,6465477.5,0.08120207353825401,0.7412618916394071,0.13525736230958324
ftm_224137,"FRANCHOT, PETER V",FRANCHOT,D,Other Statewide,MD,Incumbent,13722,1525922,0.02061863674208383,0.9318712995417082,0.055555245027579775
ftm_224139,"FISHER, DAN",FISHER,R,Governor,OK,Open Seat,10442.5,661992.5,0.021093199021163,0.9051291810743575,0.058324248143518484
ftm_224140,"JONES, GARY A",JONES,R,Governor,OK,Open Seat,18602,915352,0.031130856350246976,0.8948059950032398,0.08422242880044298
ftm_224141,"LAMB, TODD",LAMB,R,Governor,OK,Open Seat,45087.5,3096487.5,0.019547301154668583,0.8701830594150934,0.11261535134418987
ftm_224142,"RICHARDSON, GARY L",RICHARDSON,R,Governor,OK,Open Seat,7246.5,525496.5,0.037278343991368076,0.816472423155259,0.10321474335402396
ftm_224143,"STITT, KEVIN",STITT,R,Governor,OK,Open Seat,109637.5,7467337.5,0.0748407824425849,0.727489443301455,0.1691866984502571
ftm_224145,"EDMONDSON, WILLIAM ANDREW (DREW)",EDMONDSON,D,Governor,OK,Open Seat,30724.5,1747974.5,0.020566958585346212,0.707786564522006,0.23290405982235893
ftm_224151,"FIELDS, EDDIE JAY",FIELDS,R,Governor,OK,Open Seat,198,38498,0.04114825466605837,0.9128415818560593,0.045719325127630724
ftm_224152,"MURPHY, DANA L",MURPHY,R,Governor,OK,Open Seat,10483.5,394983.5,0.009265258768552756,0.9023545909329673,0.07353042997550198
ftm_224153,"PINNELL, MATT",PINNELL,R,Governor,OK,Open Seat,41995,1885445,0.014164118256227827,0.8863596970059872,0.0925685277031243
ftm_224154,"BYRD, CINDY",BYRD,R,Other Statewide,OK,Open Seat,7840.5,421490.5,0.16294014100513118,0.5698858822534703,0.14148399853256305
ftm_224155,"HUNTER, MIKE",HUNTER,R,Other Statewide,OK,Incumbent,30622.5,2338972.5,0.03803729299945676,0.8724781502160308,0.089518670202497
ftm_224157,"MCDANIEL, RANDY",MCDANIEL,R,Other Statewide,OK,Open Seat,13498.5,529998.5,0.006208785314098852,0.9903378625019983,0.009293503618119358
ftm_224161,"ANTHONY, BOB",ANTHONY,R,Other Statewide,OK,Incumbent,2287,197987,0.027008428116745132,0.8127504204082121,0.15843664971549054
ftm_224170,"HEALEY, MAURA T",HEALEY,D,Other Statewide,MA,Incumbent,42996,930646,0.009578593620214751,0.9199292790237281,0.07465225615314772
ftm_224171,"CURTMAN, PAUL",CURTMAN,R,Other Statewide,MO,Open Seat,2944.5,532494.5,0.006087921909770084,0.9702164021620441,0.03296137500874896
ftm_224172,"MCMAHON III, JAMES R",MCMAHON,R,Other Statewide,MA,Challenger,6889,656989,0.03245408620844929,0.8529529761519654,0.1009558864037954
ftm_224174,"WASINGER, DAVID",WASINGER,R,Other Statewide,MO,Open Seat,11341.5,1015491.5,0.0103954320645129,0.7896796686576854,0.13614997691452294
ftm_224175,"MARCHAND, STEVE",MARCHAND,D,Governor,NH,Open Seat,7573,573973,0.026068663536106113,0.8426303099069828,0.1303387808854705
ftm_224177,"SHORES, DANIEL L",SHORES,R,Other Statewide,MA,Open Seat,11938,466488,0.026694073524140167,0.8214256403689966,0.15022581099915722
ftm_224179,"APODACA, JEFF",APODACA,D,Governor,NM,Open Seat,9127.5,773977.5,0.03901694735713976,0.8197252503442253,0.10239874283057689
ftm_224180,"CERVANTES, JOSEPH",CERVANTES,D,Governor,NM,Open Seat,7731.5,654981.5,0.020196566773456805,0.8146471165785442,0.12099989148480218
ftm_224187,"FLYNN, MATT",FLYNN,D,Governor,WI,Open Seat,20133.5,810983.5,0.017458431347265584,0.7479132569071454,0.2352063077531833
ftm_224190,"EVERS, ANTHONY STEVEN (TONY)",EVERS,D,Governor,WI,Open Seat,402077,16192577.5,0.025449246322142727,0.39222974328898036,0.4807816120984355
ftm_224192,"MCCABE, MIKE",MCCABE,D,Governor,WI,Open Seat,21021,2136971,0.02946000689636079,0.8417068712457063,0.12177447735891953
ftm_224198,"GRONIK, DAVID S (ANDY)",GRONIK,D,Governor,WI,Open Seat,3777,624477,0.011918945523287946,0.8534425303380136,0.1337918808132721
ftm_224207,"WALKER, SCOTT K",WALKER,R,Governor,WI,Incumbent,422986,23616836.5,0.073809453071236,0.5023501119064244,0.34698936750987963
ftm_224211,"KAUL, JOSHUA",KAUL,D,Other Statewide,WI,Challenger,98045,1155446,0.20312990306587828,0.28862762344457304,0.3034925968702708
ftm_224212,"BROWN, KATE",BROWN,D,Governor,OR,Incumbent,262233,11354983,0.1883525962550638,0.5669958635736487,0.20770808078198333
ftm_224214,"BUEHLER, KNUTE C",BUEHLER,R,Governor,OR,Challenger,201833,7955833,0.061839227762792916,0.6442109051652897,0.23252962474287434
ftm_224218,"PEARCE, STEVAN E (STEVE)",PEARCE,R,Governor,NM,Open Seat,59726.5,5376426.5,0.0448806867629332,0.84716840650381,0.08075755457852858
ftm_224220,"GRISHAM, MICHELLE LUJAN",GRISHAM,D,Governor,NM,Open Seat,104441,7830941,0.14318311619088564,0.6247792195805218,0.20088633038297712
ftm_224224,"LITTLE, BRAD",LITTLE,R,Governor,ID,Open Seat,11116.5,411466.5,0.0042546941622648,0.9621005258888606,0.04885636651500701
ftm_224235,"MCGEACHIN, JANICE",MCGEACHIN,R,Governor,ID,Open Seat,9884,948984,0.01168199469419247,0.935059576942336,0.05924031215879593
ftm_224246,"EHLERS, JAMES",EHLERS,D,Governor,VT,Open Seat,396,13996,0.014106181065195388,0.924658600173675,0.06954993861764869
ftm_224248,"STERN, KEITH",STERN,R,Governor,VT,Challenger,3897.5,503997.5,0.0074586690554875705,0.958972907513419,0.04701900021098858
ftm_224249,"THRONE, MARY",THRONE,D,Governor,WY,Open Seat,57657,2963457,0.007392521276997245,0.9215472740672921,0.0697028762811029
ftm_224250,"DAHLIN, WILLIAM (BILL)",DAHLIN,R,Governor,WY,Open Seat,8685.5,660485.5,0.021395922507272916,0.8961037391148183,0.07219888527930314
ftm_224253,"MIERA, RICK",MIERA,D,Governor,NM,Open Seat,749.5,74999.5,0.002268468191497724,0.9274146048397084,0.08477074173333177
ftm_224259,"WOLF, THOMAS W (TOM)",WOLF,D,Governor,PA,Incumbent,485065,34182217.5,0.156075136622209,0.6159454964728515,0.20111437594088444
ftm_224260,"WAGNER, SCOTT R",WAGNER,R,Governor,PA,Open Seat,270223,8028475,0.026810012823185833,0.14950777146286906,0.7281800768781731
ftm_224272,"TOULOUSE OLIVER, MAGGIE",OLIVER,D,Other Statewide,NM,Incumbent,797,232497,0.015298318040929838,0.8421022173955468,0.114082246051094
ftm_224275,"VENEKLASEN, GARRETT",VENEKLASEN,D,Other Statewide,NM,Open Seat,1138.5,76988.5,0.02264634441250058,0.8414521555186846,0.15178868294401066
ftm_224276,"BALDERAS, HECTOR H",BALDERAS,D,Other Statewide,NM,Incumbent,22497,1149997,0.36519382327729644,0.20907644405485168,0.2482830264856857
ftm_224293,"PELIKAN, MATT",PELIKAN,D,Other Statewide,MN,Open Seat,14574.5,990974.5,0.009244532905660267,0.8654212448994141,0.1464206098333271
ftm_224296,"WARDLOW, DOUG",WARDLOW,R,Other Statewide,MN,Open Seat,55416,3352966,0.19808783582098238,0.312867507959958,0.23511159024752218
ftm_224313,"COTE, ADAM ROLAND",COTE,D,Governor,ME,Open Seat,25736,1315486,0.006467099074803966,0.8717994431123784,0.1343091770066001
ftm_224314,"DION, MARK",DION,D,Governor,ME,Open Seat,2690.5,236990.5,0.014501056676276063,0.8697414714442919,0.09695871493544096
ftm_224317,"EVES, MARK WESTWOOD",EVES,D,Governor,ME,Open Seat,16097.5,834997.5,0.0044012975305637685,0.8530031958333472,0.13319461288929993
